fighter_id,fade_slope,fade_slope_dev,population_slope,slope_se,total_min_fought,min_past_10,n_fights,n_fights_reaching_r3,n_round_obs
2521,0.00886746088722505,0.0019354140642429808,0.006932046822982068,0.11189869806997296,4.7,0.0,1,0,1
4267,0.008869675284691398,0.0019376284617093303,0.006932046822982068,0.11144597451463736,9.65,0.0,2,0,3
877,0.008924664015419047,0.0019926171924369795,0.006932046822982068,0.11190756393193034,4.95,0.0,1,0,1
4041,0.008948425360026074,0.0020163785370440057,0.006932046822982068,0.09281732014259858,151.48329999999999,44.55,11,10,32
3676,0.00895319564723219,0.0020211488242501225,0.006932046822982068,0.11159268576195937,4.0666,0.0,2,0,2
4732,0.008957932783875385,0.0020258859608933174,0.006932046822982068,0.10463932662631813,56.3667,10.0,5,2,12
2341,0.008981754239225679,0.0020497074162436103,0.006932046822982068,0.11189742617264839,4.6667,0.0,1,0,1
4110,0.008989751401875277,0.002057704578893209,0.006932046822982068,0.11190056360384693,4.75,0.0,1,0,1
1885,0.009051936465110804,0.0021198896421287367,0.006932046822982068,0.11188867803830828,4.45,0.0,1,0,1
3324,0.009068640438598086,0.0021365936156160182,0.006932046822982068,0.10822212597313048,18.65,4.649999999999999,2,1,4
2256,0.009081236130666354,0.002149189307684286,0.006932046822982068,0.1117352685806247,6.300000000000001,0.0,2,0,2
4377,0.009115961551980462,0.002183914728998394,0.006932046822982068,0.10277778093058841,46.2,15.0,4,3,10
612,0.009120832097086942,0.002188785274104874,0.006932046822982068,0.11151604656826851,9.2166,0.0,2,0,3
2088,0.009143243852448146,0.0022111970294660774,0.006932046822982068,0.11189742617264839,4.6667,0.0,1,0,1
627,0.009157799823824562,0.002225753000842495,0.006932046822982068,0.10542075306206856,33.8167,10.0,3,2,7
885,0.009172294686672175,0.002240247863690107,0.006932046822982068,0.1118469386290232,14.1,0.0,3,0,3
2282,0.009211084411481713,0.002279037588499645,0.006932046822982068,0.09733602163246058,91.05,30.0,7,6,19
3973,0.009258688310188869,0.0023266414872068,0.006932046822982068,0.1118135519512801,3.0833,0.0,1,0,1
2643,0.009286445724220594,0.002354398901238526,0.006932046822982068,0.11188507877504361,4.3667,0.0,1,0,1
4474,0.009332491287940886,0.0024004444649588183,0.006932046822982068,0.11125427489937711,9.7167,0.0,1,0,2
4239,0.009346200916770823,0.002414154093788755,0.006932046822982068,0.11185903700092438,3.8333,0.0,1,0,1
