row,fold,p_raw,raw_asymmetry,y,fight_id,event_date,fighter_a_id,fighter_b_id,weight_class,odds_a,odds_b,q_mkt,a_n_fights,b_n_fights,p_cal,calibrated,p_blend,blended,side,p_side,q_side,edge,dec_odds,won,stake
7496,4,0.6878496408462524,0.013887166976928711,1,1091,2024-05-04,4014,2827,Strawweight,-435.0,280.0,0.7554844606946984,3,16,0.6666666666666666,True,0.8008002655386627,True,a,0.8008002655386627,0.7554844606946984,0.04531580484396425,1.2298850574712643,1,0.0
7502,4,0.3534836769104004,0.14700078964233398,0,1096,2024-05-04,1014,4164,Lightweight,400.0,-600.0,0.1891891891891892,10,2,0.2987551867219917,True,0.13752707125508604,True,b,0.862472928744914,0.8108108108108107,0.05166211793410325,1.1666666666666667,1,0.009327625303599565
7507,4,0.43109816312789917,0.01796591281890869,0,1075,2024-05-11,2559,357,Light Heavyweight,210.0,-278.0,0.30488788514276494,12,6,0.42857142857142855,True,0.26415896910131165,True,b,0.7358410308986884,0.695112114857235,0.040728916041453345,1.3597122302158273,1,0.0003697741992604911
7508,4,0.6893807053565979,0.1391761302947998,0,1076,2024-05-11,4506,3476,Lightweight,-480.0,320.0,0.7765793528505394,3,14,0.6666666666666666,True,0.8219722483060579,True,a,0.8219722483060579,0.7765793528505394,0.0453928954555185,1.2083333333333333,0,0.0
7515,4,0.6639226675033569,0.11011075973510742,1,1066,2024-05-18,1725,2941,Lightweight,-600.0,350.0,0.7941176470588235,1,1,0.6604361370716509,True,0.8387184031900639,True,a,0.8387184031900639,0.7941176470588235,0.04460075613124037,1.1666666666666667,1,0.0
7516,4,0.3261028528213501,0.10887455940246582,0,1061,2024-05-18,3479,3562,Featherweight,130.0,-175.0,0.4059040590405904,29,6,0.2987551867219917,True,0.3606009138579186,True,b,0.6393990861420814,0.5940959409594095,0.04530314518267187,1.5714285714285714,1,0.002086871722680947
7519,4,0.5662004351615906,0.03408634662628174,1,1064,2024-05-18,84,1144,Bantamweight,-550.0,310.0,0.7762478485370052,7,2,0.6083333333333334,True,0.8170505831945586,True,a,0.8170505831945586,0.7762478485370052,0.04080273465755335,1.1818181818181819,1,0.0
7525,4,0.42170315980911255,0.035105109214782715,1,1072,2024-05-18,2745,3573,Strawweight,290.0,-420.0,0.24096385542168672,6,4,0.42857142857142855,True,0.19709274127447657,True,b,0.8029072587255235,0.7590361445783133,0.04387111414721023,1.2380952380952381,0,0.0
7526,4,0.5958137512207031,0.02891373634338379,1,1067,2024-05-18,1755,2893,Light Heavyweight,-600.0,350.0,0.7941176470588235,0,0,0.6083333333333334,True,0.8349492348347028,True,a,0.8349492348347028,0.7941176470588235,0.04083158777587936,1.1666666666666667,1,0.0
7531,4,0.6523332595825195,0.024082064628601074,0,1052,2024-06-01,4709,2863,Welterweight,-300.0,210.0,0.6992481203007519,20,16,0.6604361370716509,True,0.7414522099665978,True,a,0.7414522099665978,0.6992481203007519,0.04220408966584588,1.3333333333333333,0,0.0
7532,4,0.830259382724762,0.08863973617553711,1,1049,2024-06-01,4117,1820,Lightweight,-500.0,300.0,0.7692307692307692,15,30,0.9439288199547541,True,0.8509393041212906,True,a,0.8509393041212906,0.7692307692307692,0.08170853489052143,1.2,1,0.02
7533,4,0.39086514711380005,0.006788372993469238,0,1056,2024-06-01,3463,1092,Lightweight,350.0,-600.0,0.20588235294117646,7,10,0.41025641025641024,True,0.1608492047153308,True,b,0.8391507952846692,0.7941176470588236,0.04503314822584559,1.1666666666666667,1,0.0
